Category,API Name,Purpose,Method,Endpoint,Content-Type,Main Fields,Main Response
Robot → Backend,로봇 상태 업로드,"로봇 현재 상태, 위치, 배터리 업로드",POST,/api/robots/{robotId}/status,application/json,"status, battery, x, y, address, nextDestination, velocity, timestamp","success, robotId"
Robot → Backend,로봇 카메라 이미지 업로드,로봇별 카메라 이미지 업로드 및 이상 탐지 요청,POST,/api/robots/{robotId}/image,multipart/form-data,"image, x, y, address, timestamp","success, robotId, imageId, imageUrl, analysisJobId"
Robot → Backend,로봇 라이다 업로드,로봇별 라이다 NumPy 배열 업로드 후 백엔드에서 Preview/정량 summary 생성,POST,/api/robots/{robotId}/lidar,multipart/form-data,"lidarFile, x, y, timestamp","success, robotId, lidarId, lidarFileUrl, previewImageUrl, summary"
Backend → Agent,빈집 정비 우선순위 분석 요청,빈집/인구/이벤트 기반 정비 우선순위 분석 요청,POST,/agent/maintenance/analyze,application/json,"jobId, callbackUrl, area, vacantHouses, populationData, recentEvents","accepted, jobId"
Backend → Agent,이미지 이상 탐지 요청,카메라 이미지 기반 이상 상황 탐지 요청,POST,/agent/anomaly/analyze-image,application/json,"jobId, callbackUrl, robotId, imageId, imageUrl, x, y, address, timestamp","accepted, jobId"
Backend → Agent,재건축 추천 요청,특정 빈집 재건축 용도/규모/이미지 추천 요청,POST,/agent/reconstruction/recommend,application/json,"jobId, callbackUrl, houseId, address, riskLevel, agingRate, accessibility, populationContext, beforeImageUrl","accepted, jobId"
Agent → Backend,재건축 추천 결과 전달,재건축 추천 결과 저장,POST,/api/agent/reconstruction-results,application/json,"jobId, houseId, recommendedUse, buildingScale, style, estimatedCost, expectedReturn, feasibility, reason, images","success, houseId"
Agent → Backend,이상 탐지 결과 전달,이미지 분석 결과를 백엔드에 저장,POST,/api/agent/anomaly-results,application/json,"jobId, analysisId, robotId, imageId, eventType, severity, confidence, summary, detectedObjects","success, eventId"
Agent → Backend,정비 우선순위 결과 전달,정비 우선순위 분석 결과 저장,POST,/api/agent/maintenance-results,application/json,"jobId, analysisId, recommendations","success, analysisId, savedCount"
Front → Backend,통합 대시보드 조회,대시보드 전체 데이터 조회,GET,/api/dashboard,-,selectedRobotId(query),"weather, robots[].latestImage, robots[].latestLidar.previewImageUrl, robots[].latestLidar.summary, robots[].patrolPath, vacantHouseMap, maintenancePriorities, reconstruction, urgentEvent, stats"
Front → Backend,빈집 정비 우선순위 조회,정비 우선순위 목록 조회,GET,/api/maintenance,-,-,"rank, houseId, address, riskLevel, agingRate, accessibility, score, recommendedUse, reason"
Front → Backend,특정 로봇 대시보드 조회,선택 로봇의 이미지/라이다/경로/이벤트 조회,GET,/api/dashboard/robots/{robotId},-,robotId(path),"robot, latestImage, latestLidar.previewImageUrl, latestLidar.summary, patrolPath, events"
Front → Backend,정비 우선순위 분석 실행,정비 우선순위 분석 작업 실행,POST,/api/maintenance/analyze,application/json,area,"success, jobId, message"
Front → Backend,이벤트 목록 조회,이상 탐지/실종자 후보/경고 이벤트 목록 조회,GET,/api/events,-,"robotId, eventType, severity, resolved, limit(query)","eventId, robotId, eventType, severity, summary, confidence, imageUrl, resolved"
Front → Backend,이벤트 처리 완료,이벤트 확인 완료 처리,POST,/api/events/{eventId}/resolve,application/json,memo,"success, eventId, resolved"